# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
375.950005 323.966185 1342.943370 1.107000 0.691234 0.560513 356.004493
372.957723 326.954933 1459.085044 1.007717 0.655613 0.352186 356.644846
374.943760 328.960434 2088.840056 0.758562 0.631064 0.090032 355.924265
370.967122 322.963675 2335.935146 0.699742 0.602408 -0.112228 355.830169
367.946454 326.966390 1837.130365 0.851874 0.642190 0.220166 355.202651
368.951459 327.958062 2270.502066 0.696027 0.610581 -0.785398 355.374830
366.957374 329.955907 1435.320613 1.110462 0.607264 0.222781 355.547652
364.957439 331.975115 1267.265973 1.264192 0.647505 0.214506 353.796298
365.947661 326.959897 2075.494003 0.771921 0.608234 0.042505 355.070216
356.931178 327.957302 2000.889684 0.775073 0.635938 0.101177 355.480821
358.948056 329.952005 2289.837152 0.693977 0.603997 0.114780 354.694873
357.946050 330.970485 1487.399892 1.016804 0.629697 0.266317 354.267001
354.954790 332.959295 1288.884943 1.203190 0.627357 0.285838 354.191814
356.957723 334.962429 1815.152933 0.789179 0.669660 -0.392035 353.752660
353.942981 327.967128 1734.609059 0.799562 0.712916 -0.013534 352.984247
349.953553 333.961095 1590.654522 0.891556 0.679251 0.113226 353.662235
349.951303 335.961499 995.558591 1.515375 0.674116 0.181246 353.114473
347.948700 335.956384 1583.014756 0.937422 0.651560 -0.021917 353.884496
338.957940 336.956671 2024.421911 0.714762 0.654848 -0.090909 353.579859
336.954859 339.952257 1510.948865 0.911964 0.718173 0.218448 353.964680
335.947431 340.960442 1401.776066 1.100143 0.649780 0.159182 353.329863
334.958905 334.956964 1708.898664 0.859314 0.645871 0.212117 353.439773
331.959738 336.956662 1451.890189 1.069931 0.639477 0.123171 353.422863
328.969145 337.969525 1879.058749 0.792061 0.641824 -0.285233 352.586280
328.949170 337.951303 1639.260932 0.953799 0.617583 0.086974 352.802426
326.956207 339.970097 1276.995718 1.127140 0.683340 0.147198 351.607632
323.962064 339.970758 1359.837115 1.032785 0.695936 0.076412 350.994397
321.962181 342.961128 1623.361415 0.878511 0.680291 0.048758 351.404746
313.959661 343.967818 1691.690638 0.814824 0.696448 -0.051678 351.277514
